tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.080068633,left_link,medium,0.174677406
0.040000,0.080108514,left_link,medium,0.174677406
0.080000,0.080323794,left_link,medium,0.174677406
0.120000,0.080743335,left_link,medium,0.174677406
0.160000,0.081293419,left_link,medium,0.174677406
0.200000,0.081859422,left_link,medium,0.174677406
0.240000,0.082348286,left_link,medium,0.174677406
0.280000,0.082733031,left_link,medium,0.174677406
0.320000,0.083045088,left_link,medium,0.174677406
0.360000,0.083344613,left_link,medium,0.174677406
0.400000,0.083689067,left_link,medium,0.174677406
0.440000,0.084101959,left_link,medium,0.174677406
0.480000,0.084555262,left_link,medium,0.174677406
0.520000,0.084986945,left_link,medium,0.174677406
0.560000,0.085332471,left_link,medium,0.174677406
0.600000,0.085557092,left_link,medium,0.174677406
0.640000,0.085687660,left_link,medium,0.174677406
0.680000,0.085824771,left_link,medium,0.174677406
0.720000,0.086104481,left_link,medium,0.174677406
0.760000,0.086640089,left_link,medium,0.174677406
0.800000,0.087463016,left_link,medium,0.174677406
0.840000,0.088465073,left_link,medium,0.174677406
0.880000,0.089387362,left_link,medium,0.174677406
0.920000,0.089929236,left_link,medium,0.174677406
0.960000,0.089905582,left_link,medium,0.174677406
1.000000,0.089406358,left_link,medium,0.174677406
