tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.094591641,left_link,medium,0.158758886
0.040000,0.094424344,left_link,medium,0.158758886
0.080000,0.093589179,left_link,medium,0.158758886
0.120000,0.092179031,left_link,medium,0.158758886
0.160000,0.090784937,left_link,medium,0.158758886
0.200000,0.090131241,left_link,medium,0.158758886
0.240000,0.090720782,left_link,medium,0.158758886
0.280000,0.092600590,left_link,medium,0.158758886
0.320000,0.095421928,left_link,medium,0.158758886
0.360000,0.098614209,left_link,medium,0.158758886
0.400000,0.101566853,left_link,medium,0.158758886
0.440000,0.103815731,left_link,medium,0.158758886
0.480000,0.105172964,left_link,medium,0.158758886
0.520000,0.105701173,left_link,medium,0.158758886
0.560000,0.105623458,left_link,medium,0.158758886
0.600000,0.105229093,left_link,medium,0.158758886
0.640000,0.104779888,left_link,medium,0.158758886
0.680000,0.104442006,left_link,medium,0.158758886
0.720000,0.104281855,left_link,medium,0.158758886
0.760000,0.104287549,left_link,medium,0.158758886
0.800000,0.104391749,left_link,medium,0.158758886
0.840000,0.104487714,left_link,medium,0.158758886
0.880000,0.104390740,left_link,medium,0.158758886
0.920000,0.104116103,left_link,medium,0.158758886
0.960000,0.103619131,left_link,medium,0.158758886
1.000000,0.102949963,left_link,medium,0.158758886
