tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.098042076,left_link,medium,0.139649368
0.040000,0.097967068,left_link,medium,0.139649368
0.080000,0.097557726,left_link,medium,0.139649368
0.120000,0.096748773,left_link,medium,0.139649368
0.160000,0.095668164,left_link,medium,0.139649368
0.200000,0.094525883,left_link,medium,0.139649368
0.240000,0.093504871,left_link,medium,0.139649368
0.280000,0.092685783,left_link,medium,0.139649368
0.320000,0.092053424,left_link,medium,0.139649368
0.360000,0.091534449,left_link,medium,0.139649368
0.400000,0.091035646,left_link,medium,0.139649368
0.440000,0.090481518,left_link,medium,0.139649368
0.480000,0.089840072,left_link,medium,0.139649368
0.520000,0.089118943,left_link,medium,0.139649368
0.560000,0.088349863,left_link,medium,0.139649368
0.600000,0.087572775,left_link,medium,0.139649368
0.640000,0.086820306,left_link,medium,0.139649368
0.680000,0.086107149,left_link,medium,0.139649368
0.720000,0.085431455,left_link,medium,0.139649368
0.760000,0.084780887,left_link,medium,0.139649368
0.800000,0.084138755,left_link,medium,0.139649368
0.840000,0.083490031,left_link,medium,0.139649368
0.880000,0.082825688,left_link,medium,0.139649368
0.920000,0.082142981,left_link,medium,0.139649368
0.960000,0.081444155,left_link,medium,0.139649368
1.000000,0.080735161,left_link,medium,0.139649368
