frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
1,0.204926,0,1,0,179,0.704018,-0.121196,0.381467,0.124465,0.130398,0.184868,0.201078,
2,0.344311,0,1,0,192,0.704812,-0.121345,0.389673,0.123325,0.143836,0.175543,0.193349,0.052281
3,0.489495,0,1,0,200,0.704256,-0.121096,0.388299,0.122856,0.149128,0.186228,0.205279,0.010889
4,0.633447,0,1,0,177,0.704139,-0.123306,0.384595,0.123442,0.148187,0.174934,0.207184,0.029523
5,0.784573,0,1,0,185,0.703788,-0.120602,0.383454,0.123865,0.144595,0.179342,0.196984,0.020917
6,0.929098,0,1,0,181,0.703666,-0.127005,0.391758,0.117394,0.143849,0.170041,0.192750,0.068018
7,1.074620,0,1,0,191,0.702801,-0.123625,0.390502,0.123825,0.134350,0.185352,0.202292,0.026499
8,1.209523,0,1,0,182,0.704916,-0.122850,0.384587,0.125178,0.149643,0.184312,0.205906,0.043341
9,1.350798,0,1,0,197,0.703239,-0.122112,0.387677,0.123704,0.134258,0.181522,0.209136,0.026358
10,1.488310,0,1,0,207,0.703331,-0.122609,0.387276,0.126024,0.142596,0.178386,0.206945,0.004692
11,1.617744,0,1,0,190,0.704259,-0.121475,0.379999,0.128981,0.132341,0.186879,0.213597,0.055933
12,1.752014,0,1,0,191,0.703269,-0.122399,0.390846,0.121239,0.130437,0.180838,0.198567,0.082513
13,1.911489,0,1,0,186,0.703036,-0.119462,0.387136,0.124478,0.151268,0.185977,0.204838,0.033687
14,2.043919,0,1,0,202,0.704195,-0.122181,0.394623,0.118292,0.122732,0.179261,0.199714,0.052170
15,2.178498,0,1,0,190,0.704081,-0.120836,0.390745,0.123179,0.124229,0.186324,0.203496,0.030204
16,2.308611,0,1,0,186,0.705078,-0.123807,0.386392,0.120178,0.131678,0.181028,0.203575,0.041743
17,2.454543,0,1,0,194,0.708750,-0.122860,0.383693,0.121012,0.135205,0.175715,0.201454,0.033015
18,2.589603,0,1,0,202,0.705357,-0.121539,0.386634,0.122270,0.138251,0.184465,0.205174,0.033117
19,2.722991,0,1,0,206,0.704048,-0.121273,0.382145,0.126255,0.150985,0.192290,0.206145,0.035316
20,2.868253,0,1,0,190,0.704683,-0.118907,0.380084,0.121612,0.129764,0.182536,0.203897,0.022200
21,2.994130,0,1,0,208,0.704960,-0.125548,0.377791,0.128556,0.130178,0.187534,0.206203,0.055673
22,3.131517,0,1,0,217,0.702720,-0.120124,0.388474,0.124298,0.135334,0.187421,0.203308,0.088822
23,3.271415,0,1,0,182,0.703324,-0.122808,0.380750,0.126778,0.130732,0.193600,0.204292,0.058498
24,3.406209,0,1,0,191,0.705027,-0.120523,0.390612,0.121314,0.145868,0.173050,0.196458,0.075500
25,3.540531,0,1,0,217,0.702548,-0.118027,0.380189,0.130011,0.131018,0.204634,0.208852,0.082984
26,3.679518,0,1,0,182,0.703766,-0.124734,0.391285,0.118514,0.132295,0.173964,0.196636,0.092831
27,3.814908,0,1,0,208,0.704769,-0.121088,0.388998,0.122258,0.148129,0.175441,0.206993,0.032635
28,3.960406,0,1,0,182,0.703193,-0.124540,0.384118,0.124953,0.141170,0.185949,0.207901,0.044713
29,4.089979,0,1,0,190,0.705294,-0.119788,0.381661,0.123027,0.120665,0.188441,0.207522,0.041860
30,4.226434,0,1,0,176,0.705147,-0.119939,0.387934,0.124617,0.133251,0.173311,0.194623,0.046127
31,4.370475,0,1,0,186,0.704594,-0.123337,0.385979,0.120849,0.135378,0.185605,0.199340,0.027675
32,4.510067,0,1,0,198,0.702322,-0.123533,0.391022,0.123987,0.143187,0.179073,0.201178,0.039695
33,4.642989,0,1,0,204,0.705289,-0.123308,0.386279,0.127113,0.127045,0.191086,0.214245,0.042388
