frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.096850,1786609579.715799,0,50000,0,0,0,,,,,,,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,,,,0,1.000000,,,,,107.0835,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.204926,1786609579.822936,2494,50000,1,0,0,0.288063,upperArm_Link,0,0.704018,-0.121196,0.381467,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.124465,1,0.025780,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,157.6944,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,0.344311,1786609579.980655,2481,50000,1,0,0,0.291963,upperArm_Link,0,0.704812,-0.121345,0.389673,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.055866,0.028775,0.045382,0.015282,0.123325,2,0.024144,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,138.0350,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3,0.489495,1786609580.118706,2616,50000,1,1,0,0.284180,upperArm_Link,0,0.704256,-0.121096,0.388299,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.029719,-0.006526,0.022628,0.018127,0.122856,3,0.026381,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,146.1385,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4,0.633447,1786609580.264858,2478,50000,1,1,0,0.289482,upperArm_Link,0,0.704139,-0.123306,0.384595,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.009698,0.004773,0.001455,0.008316,0.123442,4,0.022873,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,141.3043,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,0.784573,1786609580.406177,2521,50000,1,1,0,0.295234,upperArm_Link,0,0.703788,-0.120602,0.383454,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.005803,-0.000280,0.005236,-0.002485,0.123865,5,0.026520,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,154.1326,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6,0.929098,1786609580.560338,2603,50000,1,1,0,0.294197,upperArm_Link,0,0.703666,-0.127005,0.391758,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.014670,0.001696,-0.012673,0.007192,0.117394,6,0.021534,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,139.8925,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7,1.074620,1786609580.700243,2573,50000,1,1,0,0.282882,upperArm_Link,0,0.702801,-0.123625,0.390502,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.015340,0.011005,-0.001219,-0.010616,0.123825,7,0.025844,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,146.0235,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
8,1.209523,1786609580.846282,2570,50000,1,1,0,0.295188,upperArm_Link,0,0.704916,-0.122850,0.384587,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.014058,-0.006280,0.004222,-0.011847,0.125178,8,0.029544,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,136.2709,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9,1.350798,1786609580.982567,2677,50000,1,1,0,0.285257,upperArm_Link,0,0.703239,-0.122112,0.387677,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.006966,0.001188,-0.006862,0.000152,0.123704,9,0.028941,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,137.6367,0.86983252,-0.42899421,1.02398133,-0.11778772,1.57080364,0.86984718,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
