frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
1,0.204926,1,1,0.683356,-0.131906,0.370377,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.124465,0.147211,0.202211,0.124465,0.025780,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
2,0.344311,1,2,0.687894,-0.124748,0.372787,0.000000,0.055866,0.055866,0.052281,0.028775,0.045382,0.015282,0.123325,0.142525,0.197525,0.123325,0.024144,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
3,0.489495,1,3,0.681425,-0.125213,0.375738,0.000000,0.029719,0.029719,0.010889,-0.006526,0.022628,0.018127,0.122856,0.150453,0.205453,0.122856,0.026381,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
4,0.633447,1,4,0.685465,-0.131263,0.374052,0.000000,0.009698,0.009698,0.029523,0.004773,0.001455,0.008316,0.123442,0.145763,0.200763,0.123442,0.022873,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
5,0.784573,1,5,0.683192,-0.128852,0.368927,0.000000,0.005803,0.005803,0.020917,-0.000280,0.005236,-0.002485,0.123865,0.146860,0.201860,0.123865,0.026520,0,0,0,0,"speed_ok,valid_streak_not_ready"
6,0.929098,1,6,0.688877,-0.132095,0.376956,0.000000,0.014670,0.014670,0.068018,0.001696,-0.012673,0.007192,0.117394,0.142155,0.197155,0.117394,0.021534,0,0,0,0,"speed_ok,valid_streak_not_ready"
7,1.074620,1,7,0.687825,-0.125922,0.369564,0.000000,0.015340,0.015340,0.026499,0.011005,-0.001219,-0.010616,0.123825,0.155156,0.210156,0.123825,0.025844,0,0,0,0,"speed_ok,valid_streak_not_ready"
8,1.209523,1,8,0.681813,-0.128808,0.367164,0.000000,0.014058,0.014058,0.043341,-0.006280,0.004222,-0.011847,0.125178,0.152384,0.207384,0.125178,0.029544,0,0,0,0,"speed_ok,valid_streak_not_ready"
9,1.350798,1,9,0.683877,-0.132807,0.369015,0.000000,0.006966,0.006966,0.026358,0.001188,-0.006862,0.000152,0.123704,0.154728,0.209728,0.123704,0.028941,0,0,0,0,"speed_ok,valid_streak_not_ready"
10,1.488310,1,10,0.689199,-0.120164,0.373254,0.000000,0.022320,0.022320,0.004692,0.000575,0.021310,-0.006612,0.126024,0.146990,0.201990,0.126024,0.020057,0,0,0,0,"speed_ok,valid_streak_not_ready"
11,1.617744,1,11,0.680491,-0.132031,0.363609,0.000000,0.020357,0.020357,0.055933,-0.013270,-0.011054,-0.010776,0.128981,0.150460,0.205460,0.128981,0.030740,0,0,0,0,"speed_ok,valid_streak_not_ready"
12,1.752014,1,12,0.688440,-0.132281,0.376771,0.000000,0.022586,0.022586,0.082513,0.012291,-0.006441,0.017821,0.121239,0.151896,0.206896,0.121239,0.022708,0,0,0,0,"speed_ok,valid_streak_not_ready"
13,1.911489,1,13,0.684345,-0.132961,0.364451,0.000000,0.008447,0.008447,0.033687,0.000862,-0.000284,-0.008398,0.124478,0.151680,0.206680,0.124478,0.032345,0,0,0,0,"speed_ok,valid_streak_not_ready"
14,2.043919,1,14,0.692602,-0.129131,0.368813,0.000000,0.018871,0.018871,0.052170,0.006075,-0.016010,-0.007930,0.118292,0.150640,0.205640,0.118292,0.029136,0,0,0,0,"speed_ok,valid_streak_not_ready"
