t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.62233603,-0.20708220,1.33600223,-0.02769361,1.57084405,0.62232864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.62233589,-0.20708187,1.33600289,-0.02769334,1.57084440,0.62232746,-0.00004265,0.00009838,0.00019602,0.00007912,0.00010230,-0.00034864,-0.00936801,0.01930578,0.03801422,0.01519598,0.01944256,-0.06753598
0.020000,0.62233478,-0.20707962,1.33600730,-0.02769158,1.57084665,0.62231963,-0.00020291,0.00037882,0.00073726,0.00029185,0.00036941,-0.00130834,-0.02340021,0.03642167,0.06912006,0.02676970,0.03305318,-0.12235840
0.030000,0.62233130,-0.20707375,1.33601857,-0.02768718,1.57085216,0.62229966,-0.00052378,0.00081971,0.00155695,0.00060344,0.00074573,-0.00275638,-0.04137000,0.05140830,0.09378276,0.03502038,0.04137295,-0.16535035
0.040000,0.62232365,-0.20706276,1.33603916,-0.02767929,1.57086176,0.62226326,-0.00104101,0.00140009,0.00259299,0.00098217,0.00118104,-0.00457886,-0.06255080,0.06432625,0.11246758,0.04024725,0.04494295,-0.19739488
0.050000,0.62230973,-0.20704536,1.33607096,-0.02766740,1.57087582,0.62220719,-0.00178308,0.00209955,0.00378792,0.00139930,0.00163056,-0.00667073,-0.08621601,0.07523612,0.12563973,0.04274954,0.04430428,-0.21937507
0.060000,0.62228717,-0.20702044,1.33611527,-0.02765126,1.57089429,0.62212926,-0.00277119,0.00289832,0.00508896,0.00182908,0.00205490,-0.00893575,-0.11163906,0.08419853,0.13376448,0.04282648,0.03999801,-0.23217397
0.070000,0.62225344,-0.20698712,1.33617293,-0.02763086,1.57091672,0.62202819,-0.00401930,0.00377723,0.00644794,0.00224875,0.00242009,-0.01128654,-0.13809333,0.09127407,0.13730706,0.04077728,0.03256523,-0.23667467
0.080000,0.62220590,-0.20694469,1.33624428,-0.02760639,1.57094240,0.62190351,-0.00553407,0.00471771,0.00782137,0.00263854,0.00269758,-0.01364453,-0.16485226,0.09652334,0.13673270,0.03690117,0.02254703,-0.23376023
0.090000,0.62214187,-0.20689262,1.33632927,-0.02757824,1.57097030,0.62175551,-0.00731493,0.00570181,0.00917042,0.00298168,0.00286422,-0.01593998,-0.19118924,0.10000694,0.13250666,0.03149739,0.01048450,-0.22431370
0.100000,0.62205873,-0.20683057,1.33642749,-0.02754696,1.57099925,0.62158512,-0.00935403,0.00671217,0.01046088,0.00326439,0.00290226,-0.01811197,-0.21637770,0.10178548,0.12509416,0.02486515,-0.00308127,-0.20921817
0.110000,0.62195398,-0.20675835,1.33653820,-0.02751319,1.57102788,0.62139386,-0.01163624,0.00773204,0.01166323,0.00347588,0.00279939,-0.02010845,-0.23969103,0.10191956,0.11496046,0.01730368,-0.01760921,-0.18935670
0.120000,0.62182527,-0.20667595,1.33666038,-0.02747770,1.57105474,0.62118369,-0.01413918,0.00874528,0.01275257,0.00360836,0.00254868,-0.02188617,-0.26040265,0.10046977,0.10257080,0.00911221,-0.03255822,-0.16561235
0.130000,0.62167056,-0.20658352,1.33679280,-0.02744130,1.57107835,0.62095698,-0.01683320,0.00973635,0.01370868,0.00365702,0.00214862,-0.02341070,-0.27778597,0.09749672,0.08839040,0.00058996,-0.04738721,-0.13886820
