t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.62233603,-0.20708220,1.33600223,-0.02769361,1.57084405,0.62232864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.62233521,-0.20708152,1.33600283,-0.02769342,1.57084419,0.62232744,-0.00024054,0.00019951,0.00017762,0.00005774,0.00004177,-0.00035498,-0.04613384,0.03873161,0.03424868,0.01122899,0.00824568,-0.06871614
0.020000,0.62232987,-0.20707703,1.33600680,-0.02769211,1.57084515,0.62231947,-0.00088476,0.00075198,0.00066040,0.00021840,0.00016276,-0.00133029,-0.08089390,0.07066706,0.06112441,0.02060523,0.01584472,-0.12422361
0.030000,0.62231654,-0.20706553,1.33601682,-0.02768876,1.57084769,0.62229919,-0.00182362,0.00159168,0.00137741,0.00046405,0.00035649,-0.00279853,-0.10521634,0.09625308,0.08119035,0.02824360,0.02279349,-0.16745635
0.040000,0.62229275,-0.20704444,1.33603491,-0.02768260,1.57085250,0.62226225,-0.00295742,0.00265736,0.00226338,0.00077787,0.00061645,-0.00464162,-0.12003731,0.11593643,0.09500963,0.03425898,0.02908838,-0.19934833
0.050000,0.62225704,-0.20701181,1.33606245,-0.02767303,1.57086022,0.62220547,-0.00419582,0.00389223,0.00325866,0.00114420,0.00093607,-0.00675081,-0.12629298,0.13016387,0.10314542,0.03876625,0.03472575,-0.22083349
0.060000,0.62220876,-0.20696621,1.33610027,-0.02765959,1.57087140,0.62212668,-0.00545785,0.00524394,0.00430922,0.00154855,0.00130876,-0.00902671,-0.12491950,0.13938213,0.10616086,0.04188030,0.03970200,-0.23284578
0.070000,0.62214804,-0.20690671,1.33614866,-0.02764198,1.57088655,0.62202468,-0.00667190,0.00666466,0.00536669,0.00197755,0.00172789,-0.01137926,-0.11685304,0.14403796,0.10461911,0.04371600,0.04401350,-0.23631915
0.080000,0.62207569,-0.20683283,1.33620748,-0.02762000,1.57090609,0.62189911,-0.00777572,0.00811098,0.00638829,0.00241899,0.00218680,-0.01372775,-0.10302974,0.14457813,0.09908333,0.04438824,0.04765663,-0.23218756
0.090000,0.62199307,-0.20674453,1.33627618,-0.02759359,1.57093040,0.62175038,-0.00871642,0.00954399,0.00733692,0.00286182,0.00267879,-0.01600078,-0.08438578,0.14144937,0.09011665,0.04401189,0.05062777,-0.22138495
0.100000,0.62190205,-0.20664211,1.33635387,-0.02756279,1.57095976,0.62157956,-0.00945049,0.01092923,0.00818107,0.00329611,0.00319711,-0.01813632,-0.06185730,0.13509845,0.07828224,0.04270184,0.05292329,-0.20484528
