tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.124211220,left_link,medium,0.174198903
0.040000,0.123945036,left_link,medium,0.174318903
0.080000,0.123043744,left_link,medium,0.174438903
0.120000,0.121430507,left_link,medium,0.174558903
0.160000,0.119418111,left_link,medium,0.174678903
0.200000,0.117465444,left_link,medium,0.174798903
0.240000,0.115940022,left_link,medium,0.174918903
0.280000,0.114959685,left_link,medium,0.175038903
0.320000,0.114422545,left_link,medium,0.175158903
0.360000,0.114108099,left_link,medium,0.175278903
0.400000,0.113779440,left_link,medium,0.175398903
0.440000,0.113283844,left_link,medium,0.175518903
0.480000,0.112607825,left_link,medium,0.175638903
0.520000,0.111824138,left_link,medium,0.175758903
0.560000,0.111157611,left_link,medium,0.175878903
0.600000,0.110778151,left_link,medium,0.175998903
0.640000,0.110775830,left_link,medium,0.176118903
0.680000,0.111118401,left_link,medium,0.176238903
0.720000,0.111674559,left_link,medium,0.176358903
0.760000,0.112262972,left_link,medium,0.176478903
0.800000,0.112702459,left_link,medium,0.176598903
0.840000,0.112861796,left_link,medium,0.176718903
0.880000,0.112693254,left_link,medium,0.176838903
0.920000,0.112224619,left_link,medium,0.176958903
0.960000,0.111534808,left_link,medium,0.177078903
1.000000,0.110729044,left_link,medium,0.177198903
