tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.110010906,left_link,medium,0.171118239
0.040000,0.109759914,left_link,medium,0.171238239
0.080000,0.108908707,left_link,medium,0.171358239
0.120000,0.107293453,left_link,medium,0.171478239
0.160000,0.105074608,left_link,medium,0.171598239
0.200000,0.102568337,left_link,medium,0.171718239
0.240000,0.100080546,left_link,medium,0.171838239
0.280000,0.097791250,left_link,medium,0.171958239
0.320000,0.095761895,left_link,medium,0.172078239
0.360000,0.093990520,left_link,medium,0.172198239
0.400000,0.092468882,left_link,medium,0.172318239
0.440000,0.091238748,left_link,medium,0.172438239
0.480000,0.090420686,left_link,medium,0.172558239
0.520000,0.090173035,left_link,medium,0.172678239
0.560000,0.090623108,left_link,medium,0.172798239
0.600000,0.091797437,left_link,medium,0.172918239
0.640000,0.093554328,left_link,medium,0.173038239
0.680000,0.095559484,left_link,medium,0.173158239
0.720000,0.097369110,left_link,medium,0.173278239
0.760000,0.098554885,left_link,medium,0.173398239
0.800000,0.098830194,left_link,medium,0.173518239
0.840000,0.098173418,left_link,medium,0.173638239
0.880000,0.096875254,left_link,medium,0.173758239
0.920000,0.095392752,left_link,medium,0.173878239
0.960000,0.094127008,left_link,medium,0.173998239
1.000000,0.093197703,left_link,medium,0.174118239
