tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.110857594,left_link,medium,0.180939555
0.040000,0.110536828,left_link,medium,0.181059555
0.080000,0.109324694,left_link,medium,0.181179555
0.120000,0.107056484,left_link,medium,0.181299555
0.160000,0.104085458,left_link,medium,0.181419555
0.200000,0.100978118,left_link,medium,0.181539555
0.240000,0.098215369,left_link,medium,0.181659555
0.280000,0.095988793,left_link,medium,0.181779555
0.320000,0.094226563,left_link,medium,0.181899555
0.360000,0.092707055,left_link,medium,0.182019555
0.400000,0.091174024,left_link,medium,0.182139555
0.440000,0.089449402,left_link,medium,0.182259555
0.480000,0.087505376,left_link,medium,0.182379555
0.520000,0.085434098,left_link,medium,0.182499555
0.560000,0.083377447,left_link,medium,0.182619555
0.600000,0.081456018,left_link,medium,0.182739555
0.640000,0.079700384,left_link,medium,0.182859555
0.680000,0.078016491,left_link,medium,0.182979555
0.720000,0.076235802,left_link,medium,0.183099555
0.760000,0.074198304,left_link,medium,0.183219555
0.800000,0.071836093,left_link,medium,0.183339555
0.840000,0.069253129,left_link,medium,0.183459555
0.880000,0.066743269,left_link,medium,0.183579555
0.920000,0.064657719,left_link,medium,0.183699555
0.960000,0.063217603,left_link,medium,0.183819555
1.000000,0.062327723,left_link,medium,0.183939555
