tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.105640067,left_link,medium,0.165966106
0.040000,0.105599503,left_link,medium,0.165966106
0.080000,0.105397428,left_link,medium,0.165966106
0.120000,0.105056878,left_link,medium,0.165966106
0.160000,0.104719365,left_link,medium,0.165966106
0.200000,0.104553177,left_link,medium,0.165966106
0.240000,0.104663939,left_link,medium,0.165966106
0.280000,0.105037814,left_link,medium,0.165966106
0.320000,0.105563803,left_link,medium,0.165966106
0.360000,0.106086429,left_link,medium,0.165966106
0.400000,0.106459319,left_link,medium,0.165966106
0.440000,0.106598157,left_link,medium,0.165966106
0.480000,0.106513241,left_link,medium,0.165966106
0.520000,0.106289982,left_link,medium,0.165966106
0.560000,0.106048834,left_link,medium,0.165966106
0.600000,0.105904605,left_link,medium,0.165966106
0.640000,0.105926637,left_link,medium,0.165966106
0.680000,0.106113675,left_link,medium,0.165966106
0.720000,0.106405359,left_link,medium,0.165966106
0.760000,0.106707987,left_link,medium,0.165966106
0.800000,0.106920787,left_link,medium,0.165966106
0.840000,0.106961943,left_link,medium,0.165966106
0.880000,0.106788113,left_link,medium,0.165966106
0.920000,0.106397445,left_link,medium,0.165966106
0.960000,0.105826152,left_link,medium,0.165966106
1.000000,0.105144920,left_link,medium,0.165966106
