t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.58435106,-0.15600635,1.36830484,-0.01550835,1.58976469,0.53837700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
0.010000,0.58434949,-0.15600536,1.36830549,-0.01550814,1.58976499,0.53837470,-0.00046213,0.00029185,0.00019074,0.00006270,0.00009034,-0.00067994,-0.08887108,0.05667054,0.03673819,0.01217718,0.01770986,-0.13157104
0.020000,0.58433920,-0.15599879,1.36830974,-0.01550672,1.58976705,0.53835945,-0.00170902,0.00110050,0.00070763,0.00023650,0.00034717,-0.00254612,-0.15722019,0.10346790,0.06533563,0.02224118,0.03331122,-0.23755039
0.030000,0.58431335,-0.15598195,1.36832047,-0.01550310,1.58977242,0.53832065,-0.00354352,0.00233048,0.00147241,0.00050095,0.00074984,-0.00535175,-0.20666589,0.14104668,0.08642103,0.03033084,0.04689292,-0.31976854
0.040000,0.58426697,-0.15595107,1.36833977,-0.01549647,1.58978247,0.53825005,-0.00578472,0.00389289,0.00241310,0.00083700,0.00127859,-0.00886838,-0.23882673,0.17006151,0.10062309,0.03658498,0.05854380,-0.38005599
0.050000,0.58419685,-0.15590326,1.36836909,-0.01548618,1.58979835,0.53814161,-0.00826784,0.00570535,0.00346402,0.00122699,0.00191457,-0.01288587,-0.25532127,0.19116702,0.10857053,0.04114242,0.06835270,-0.42024322
0.060000,0.58410131,-0.15583638,1.36840922,-0.01547180,1.58982106,0.53799130,-0.01084432,0.00769205,0.00456576,0.00165465,0.00263980,-0.01721235,-0.25776808,0.20501782,0.11089206,0.04414198,0.07640848,-0.44216074
0.070000,0.58398009,-0.15574907,1.36846040,-0.01545302,1.58985139,0.53779692,-0.01338177,0.00978370,0.00566521,0.00210510,0.00343719,-0.02167428,-0.24778570,0.21226855,0.10821638,0.04572249,0.08279996,-0.44763903
0.080000,0.58383419,-0.15564057,1.36852236,-0.01542967,1.58988999,0.53755789,-0.01576399,0.01191760,0.00671553,0.00256484,0.00429055,-0.02611643,-0.22699270,0.21357382,0.10117220,0.04602278,0.08761599,-0.43850858
0.090000,0.58366567,-0.15551076,1.36859441,-0.01540173,1.58993734,0.53727511,-0.01789098,0.01403754,0.00767618,0.00302175,0.00518456,-0.03040186,-0.19700763,0.20958826,0.09038824,0.04518167,0.09094542,-0.41659989
0.100000,0.58347750,-0.15536003,1.36867547,-0.01536928,1.58999377,0.53695077,-0.01967890,0.01609391,0.00851292,0.00346513,0.00610480,-0.03441194,-0.15944906,0.20096650,0.07649320,0.04333798,0.09287709,-0.38374345
0.110000,0.58327345,-0.15518924,1.36876416,-0.01533250,1.59005947,0.53658813,-0.02106011,0.01804360,0.00919777,0.00388563,0.00703774,-0.03804634,-0.11593554,0.18836314,0.06011579,0.04063054,0.09349984,-0.34176975
0.120000,0.58305783,-0.15499964,1.36885885,-0.01529167,1.59013452,0.53619137,-0.02198316,0.01985008,0.00970906,0.00427532,0.00797073,-0.04122304,-0.06808563,0.17243283,0.04188472,0.03719817,0.09290251,-0.29250927
0.130000,0.58283543,-0.15479282,1.36895771,-0.01524712,1.59021885,0.53576541,-0.02241277,0.02148335,0.01003138,0.00462764,0.00889202,-0.04387834,-0.01751788,0.15383017,0.02242870,0.03317971,0.09117395,-0.23779253
0.140000,0.58261129,-0.15457063,1.36905882,-0.01519926,1.59031229,0.53531569,-0.02232985,0.02291996,0.01015565,0.00493743,0.00979073,-0.04596681,0.03414914,0.13320980,0.00237644,0.02871396,0.08840299,-0.17944999
0.150000,0.58239055,-0.15433513,1.36916016,-0.01514853,1.59041456,0.53484805,-0.02173151,0.02414300,0.01007902,0.00520089,0.01065690,-0.04746135,0.08529688,0.11122633,-0.01764335,0.02393976,0.08467849,-0.11931217
0.160000,0.58217833,-0.15408851,1.36925974,-0.01509540,1.59052529,0.53436848,-0.02063104,0.02514212,0.00980498,0.00541565,0.01148142,-0.04835317,0.13430678,0.08853439,-0.03700197,0.01899593,0.08008928,-0.05920955
0.170000,0.58197951,-0.15383305,1.36935563,-0.01504038,1.59064402,0.53388297,-0.01905790,0.02591351,0.00934328,0.00558071,0.01225610,-0.04865176,0.17956028,0.06578861,-0.05507070,0.01402130,0.07472421,-0.00097261
0.180000,0.58179860,-0.15357099,1.36944603,-0.01498395,1.59077022,0.53339733,-0.01705775,0.02645990,0.00870996,0.00569644,0.01297361,-0.04838494,0.21943882,0.04364360,-0.07122083,0.00915468,0.06867212,0.05356814
0.190000,0.58163957,-0.15330457,1.36952933,-0.01492661,1.59090328,0.53291700,-0.01469244,0.02679057,0.00792736,0.00576463,0.01362755,-0.04759882,0.25232384,0.02275399,-0.08482365,0.00453491,0.06202185,0.10258221
0.200000,0.58150571,-0.15303585,1.36960417,-0.01486881,1.59104254,0.53244687,-0.01203998,0.02692135,0.00702408,0.00578842,0.01421235,-0.04635782,0.27659680,0.00377440,-0.09525047,0.00030082,0.05486224,0.14423911
0.210000,0.58139942,-0.15276673,1.36966953,-0.01481097,1.59118728,0.53199109,-0.00919357,0.02687427,0.00603464,0.00577232,0.01472339,-0.04474363,0.29105343,-0.01277296,-0.10202975,-0.00343622,0.04728168,0.17712279
0.220000,0.58132216,-0.15249888,1.36972470,-0.01475348,1.59133675,0.53155295,-0.00625012,0.02667397,0.00499512,0.00572136,0.01515687,-0.04284381,0.29614675,-0.02689559,-0.10531878,-0.00667454,0.03936666,0.20147489
0.230000,0.58127444,-0.15223369,1.36976937,-0.01469665,1.59149015,0.53113489,-0.00329895,0.02634398,0.00393885,0.00564041,0.01550989,-0.04074038,0.29274405,-0.03873338,-0.10543203,-0.00943991,0.03120323,0.21795152
0.240000,0.58125594,-0.15197235,1.36980352,-0.01464075,1.59164667,0.53073857,-0.00042067,0.02590645,0.00289601,0.00553406,0.01578040,-0.03850884,0.28171266,-0.04842624,-0.10268396,-0.01175809,0.02287743,0.22720874
0.250000,0.58126555,-0.15171585,1.36982743,-0.01458604,1.59180548,0.53036491,0.00231276,0.02538214,0.00189366,0.00540665,0.01596719,-0.03621809,0.26391989,-0.05611408,-0.09738904,-0.01365487,0.01447530,0.22990266
0.260000,0.58130150,-0.15146494,1.36984161,-0.01453268,1.59196573,0.53001420,0.00483808,0.02479039,0.00095567,0.00526228,0.01606993,-0.03393048,0.24023304,-0.06193681,-0.08986175,-0.01515602,0.00608289,0.22668937
0.270000,0.58136143,-0.15122020,1.36984683,-0.01448083,1.59212660,0.52968611,0.00710067,0.02414915,0.00010282,0.00510476,0.01608916,-0.03170180,0.21151943,-0.06603432,-0.08041656,-0.01628730,-0.00221378,0.21822494
0.280000,0.58144248,-0.15098206,1.36984401,-0.01443061,1.59228724,0.52937980,0.00905460,0.02347498,-0.00064731,0.00493768,0.01602626,-0.02958130,0.17864637,-0.06854653,-0.06936792,-0.01707449,-0.01032866,0.20516547
0.290000,0.58154137,-0.15075076,1.36983427,-0.01438210,1.59244686,0.52909398,0.01066262,0.02278304,-0.00128025,0.00476433,0.01588348,-0.02761162,0.14248118,-0.06961334,-0.05703032,-0.01754336,-0.01817570,0.18816705
0.300000,0.58165448,-0.15052642,1.36981883,-0.01433534,1.59260466,0.52882694,0.01189614,0.02208707,-0.00178467,0.00458779,0.01566393,-0.02582890,0.10389115,-0.06937465,-0.04371822,-0.01771968,-0.02566887,0.16788577
0.310000,0.58177798,-0.15030899,1.36979903,-0.01429035,1.59275989,0.52857668,0.01273525,0.02139943,-0.00215241,0.00441083,0.01537157,-0.02426266,0.06374361,-0.06797038,-0.02974609,-0.01762922,-0.03272212,0.14497771
0.320000,0.58190784,-0.15009836,1.36977626,-0.01424712,1.59291186,0.52834089,0.01316872,0.02073108,-0.00237844,0.00423600,0.01501124,-0.02293591,0.02290587,-0.06554042,-0.01542840,-0.01729776,-0.03924942,0.12009896
0.330000,0.58203999,-0.14989428,1.36975194,-0.01420561,1.59305991,0.52811710,0.01319396,0.02009158,-0.00246088,0.00406559,0.01458862,-0.02186507,-0.01775477,-0.06222469,-0.00107962,-0.01675106,-0.04516473,0.09390561
0.340000,0.58217037,-0.14969641,1.36972752,-0.01416578,1.59320345,0.52790270,0.01281710,0.01948907,-0.00240098,0.00390161,0.01411027,-0.02105999,-0.05737098,-0.05816308,0.01298577,-0.01601491,-0.05038200,0.06705375
0.350000,0.58229504,-0.14950435,1.36970438,-0.01412755,1.59334195,0.52769501,0.01205291,0.01893033,-0.00220315,0.00374584,0.01358360,-0.02052400,-0.09507547,-0.05349551,0.02645332,-0.01511506,-0.05481519,0.04019947
0.360000,0.58241022,-0.14931764,1.36968389,-0.01409083,1.59347499,0.52749134,0.01092486,0.01842072,-0.00187495,0.00359977,0.01301687,-0.02025383,-0.13000091,-0.04836188,0.03900855,-0.01407729,-0.05837827,0.01399886
0.370000,0.58251243,-0.14913576,1.36966728,-0.01405552,1.59360219,0.52728908,0.00946505,0.01796418,-0.00142707,0.00346467,0.01241922,-0.02023966,-0.16128000,-0.04290210,0.05033699,-0.01292738,-0.06098518,-0.01089200
