tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.097019274,left_link,medium,0.165966106
0.040000,0.096944300,left_link,medium,0.165966106
0.080000,0.096535156,left_link,medium,0.165966106
0.120000,0.095726592,left_link,medium,0.165966106
0.160000,0.094646468,left_link,medium,0.165966106
0.200000,0.093504687,left_link,medium,0.165966106
0.240000,0.092484158,left_link,medium,0.165966106
0.280000,0.091665422,left_link,medium,0.165966106
0.320000,0.091033047,left_link,medium,0.165966106
0.360000,0.090513414,left_link,medium,0.165966106
0.400000,0.090013165,left_link,medium,0.165966106
0.440000,0.089456963,left_link,medium,0.165966106
0.480000,0.088813376,left_link,medium,0.165966106
0.520000,0.088090802,left_link,medium,0.165966106
0.560000,0.087321630,left_link,medium,0.165966106
0.600000,0.086546037,left_link,medium,0.165966106
0.640000,0.085796127,left_link,medium,0.165966106
0.680000,0.085085184,left_link,medium,0.165966106
0.720000,0.084409512,left_link,medium,0.165966106
0.760000,0.083755151,left_link,medium,0.165966106
0.800000,0.083104712,left_link,medium,0.165966106
0.840000,0.082444075,left_link,medium,0.165966106
0.880000,0.081767181,left_link,medium,0.165966106
0.920000,0.081076146,left_link,medium,0.165966106
0.960000,0.080379548,left_link,medium,0.165966106
1.000000,0.079690682,left_link,medium,0.165966106
