tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.117650508,left_link,medium,0.165966106
0.040000,0.117789352,left_link,medium,0.165966106
0.080000,0.118544454,left_link,medium,0.165966106
0.120000,0.120032039,left_link,medium,0.165966106
0.160000,0.122012030,left_link,medium,0.165966106
0.200000,0.124092127,left_link,medium,0.165966106
0.240000,0.125934756,left_link,medium,0.165966106
0.280000,0.127407515,left_link,medium,0.165966106
0.320000,0.128569352,left_link,medium,0.165966106
0.360000,0.129587623,left_link,medium,0.165966106
0.400000,0.130649864,left_link,medium,0.165966106
0.440000,0.131875817,left_link,medium,0.165966106
0.480000,0.133262187,left_link,medium,0.165966106
0.520000,0.134711528,left_link,medium,0.165966106
0.560000,0.136094701,left_link,medium,0.165966106
0.600000,0.137315416,left_link,medium,0.165966106
0.640000,0.138374453,left_link,medium,0.165966106
0.680000,0.139400295,left_link,medium,0.165966106
0.720000,0.140592626,left_link,medium,0.165966106
0.760000,0.142130926,left_link,medium,0.165966106
0.800000,0.144081098,left_link,medium,0.165966106
0.840000,0.146304028,left_link,medium,0.165966106
0.880000,0.148433703,left_link,medium,0.165966106
0.920000,0.150034454,left_link,medium,0.165966106
0.960000,0.150830516,left_link,medium,0.165966106
1.000000,0.150939803,left_link,medium,0.165966106
