tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.123501302,left_link,medium,0.165966106
0.040000,0.123402339,left_link,medium,0.165966106
0.080000,0.122865219,left_link,medium,0.165966106
0.120000,0.121812865,left_link,medium,0.165966106
0.160000,0.120424141,left_link,medium,0.165966106
0.200000,0.118979653,left_link,medium,0.165966106
0.240000,0.117712141,left_link,medium,0.165966106
0.280000,0.116707417,left_link,medium,0.165966106
0.320000,0.115921086,left_link,medium,0.165966106
0.360000,0.115238041,left_link,medium,0.165966106
0.400000,0.114531849,left_link,medium,0.165966106
0.440000,0.113722536,left_link,medium,0.165966106
0.480000,0.112811975,left_link,medium,0.165966106
0.520000,0.111863499,left_link,medium,0.165966106
0.560000,0.110960146,left_link,medium,0.165966106
0.600000,0.110163102,left_link,medium,0.165966106
0.640000,0.109472079,left_link,medium,0.165966106
0.680000,0.108807631,left_link,medium,0.165966106
0.720000,0.108047450,left_link,medium,0.165966106
0.760000,0.107083458,left_link,medium,0.165966106
0.800000,0.105878926,left_link,medium,0.165966106
0.840000,0.104521793,left_link,medium,0.165966106
0.880000,0.103232514,left_link,medium,0.165966106
0.920000,0.102265501,left_link,medium,0.165966106
0.960000,0.101775232,left_link,medium,0.165966106
1.000000,0.101685142,left_link,medium,0.165966106
