t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.04806593,-0.17445963,0.83571190,-0.06788564,1.73710790,-0.32915761,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.04806351,-0.17446112,0.83571300,-0.06788591,1.73710681,-0.32915759,-0.00071419,-0.00044135,0.00032309,-0.00008093,-0.00031907,0.00000523,-0.13808604,-0.08552407,0.06261962,-0.01570552,-0.06169029,0.00101592
0.020000,0.04804751,-0.17447104,0.83572026,-0.06788774,1.73709967,-0.32915747,-0.00267004,-0.00165737,0.00121375,-0.00030481,-0.00119282,0.00001974,-0.24866705,-0.15511538,0.11364641,-0.02862226,-0.11108542,0.00185741
0.030000,0.04800686,-0.17449634,0.83573879,-0.06789240,1.73708151,-0.32915717,-0.00560256,-0.00349420,0.00256001,-0.00064469,-0.00250280,0.00004183,-0.33375622,-0.20986884,0.15387231,-0.03893274,-0.14908530,0.00253560
0.040000,0.04793303,-0.17454251,0.83577263,-0.06790093,1.73704852,-0.32915662,-0.00926690,-0.00580894,0.00425783,-0.00107539,-0.00413954,0.00006994,-0.39536673,-0.25087937,0.18408932,-0.04681945,-0.17658982,0.00306158
0.050000,0.04781983,-0.17461367,0.83582480,-0.06791413,1.73699796,-0.32915576,-0.01343834,-0.00846963,0.00621108,-0.00157360,-0.00600261,0.00010259,-0.43551178,-0.27924189,0.20508940,-0.05246493,-0.19449891,0.00344646
0.060000,0.04766325,-0.17471266,0.83589741,-0.06793256,1.73692802,-0.32915455,-0.01791229,-0.01135527,0.00833154,-0.00211783,-0.00800054,0.00013844,-0.45620455,-0.29605130,0.21766451,-0.05605167,-0.20371247,0.00370134
0.070000,0.04746120,-0.17484116,0.83599172,-0.06795657,1.73683778,-0.32915298,-0.02250430,-0.01435579,0.01053892,-0.00268838,-0.01005087,0.00017623,-0.45945824,-0.30240253,0.22260664,-0.05776220,-0.20513040,0.00383734
0.080000,0.04721332,-0.17499982,0.83610823,-0.06798635,1.73672708,-0.32915103,-0.02705004,-0.01737211,0.01276087,-0.00326742,-0.01208016,0.00021482,-0.44728603,-0.29939049,0.22070776,-0.05777903,-0.19965261,0.00386555
0.090000,0.04692083,-0.17518836,0.83624677,-0.06802190,1.73659646,-0.32914869,-0.03140531,-0.02031604,0.01493292,-0.00383893,-0.01402394,0.00025321,-0.42170112,-0.28811009,0.21275983,-0.05628466,-0.18817902,0.00379709
0.100000,0.04658627,-0.17540564,0.83640654,-0.06806306,1.73644707,-0.32914597,-0.03544606,-0.02311040,0.01699854,-0.00438869,-0.01582675,0.00029048,-0.38471669,-0.26965625,0.19955482,-0.05346162,-0.17160953,0.00364307
0.110000,0.04621331,-0.17564984,0.83658622,-0.06810956,1.73628055,-0.32914288,-0.03906836,-0.02568891,0.01890913,-0.00490434,-0.01744214,0.00032583,-0.33834593,-0.24512389,0.18188471,-0.04949241,-0.15084405,0.00341458
0.120000,0.04580658,-0.17591852,0.83678406,-0.06816100,1.73609898,-0.32913946,-0.04218841,-0.02799626,0.02062399,-0.00537532,-0.01883265,0.00035856,-0.28460204,-0.21560791,0.16054148,-0.04455955,-0.12678248,0.00312273
0.130000,0.04537143,-0.17620872,0.83699794,-0.06821689,1.73590474,-0.32913572,-0.04474253,-0.02998810,0.02211035,-0.00579293,-0.01996980,0.00038811,-0.22549820,-0.18220324,0.13631708,-0.03884556,-0.10032474,0.00277863
0.140000,0.04491376,-0.17651711,0.83722543,-0.06827665,1.73570049,-0.32913171,-0.04668721,-0.03163101,0.02334337,-0.00615024,-0.02083415,0.00041400,-0.16304760,-0.14600478,0.11000349,-0.03253294,-0.07237073,0.00239340
0.150000,0.04443980,-0.17684010,0.83746390,-0.06833967,1.73548900,-0.32912745,-0.04799904,-0.03290254,0.02430610,-0.00644220,-0.02141523,0.00043588,-0.09926343,-0.10810746,0.08239269,-0.02580421,-0.04382037,0.00197812
0.160000,0.04395590,-0.17717389,0.83771062,-0.06840527,1.73527314,-0.32912300,-0.04867475,-0.03379115,0.02498954,-0.00666555,-0.02171157,0.00045350,-0.03615889,-0.06960619,0.05427664,-0.01884188,-0.01557355,0.00154392
0.170000,0.04346837,-0.17751464,0.83796276,-0.06847275,1.73505570,-0.32911840,-0.04873119,-0.03429630,0.02539259,-0.00681886,-0.02173071,0.00046673,0.02425284,-0.03159587,0.02644731,-0.01182846,0.01146982,0.00110189
0.180000,0.04298322,-0.17785857,0.83821756,-0.06854141,1.73483939,-0.32911368,-0.04820538,-0.03442835,0.02552208,-0.00690255,-0.02148919,0.00047555,0.07995858,0.00482856,-0.00030331,-0.00494647,0.03640982,0.00066314
0.190000,0.04250601,-0.17820204,0.83847234,-0.06861058,1.73462670,-0.32910890,-0.04715442,-0.03420866,0.02539276,-0.00691884,-0.02101253,0.00048004,0.12894512,0.03857220,-0.02518327,0.00162158,0.05834654,0.00023878
0.200000,0.04204163,-0.17854168,0.83872462,-0.06867958,1.73441981,-0.32910410,-0.04565558,-0.03366950,0.02502729,-0.00687178,-0.02033527,0.00048041,0.16919928,0.06854014,-0.04740059,0.00769318,0.07638009,-0.00016008
0.210000,0.04159407,-0.17887450,0.83897220,-0.06874782,1.73422052,-0.32909931,-0.04380506,-0.03285351,0.02445585,-0.00676715,-0.01950040,0.00047695,0.19918622,0.09387021,-0.06632987,0.01312101,0.08982418,-0.00052439
0.220000,0.04116636,-0.17919798,0.83921316,-0.06881475,1.73403017,-0.32909457,-0.04170482,-0.03180732,0.02371152,-0.00661152,-0.01855352,0.00047004,0.21928448,0.11463126,-0.08201199,0.01789859,0.09884711,-0.00085332
0.230000,0.04076049,-0.17951003,0.83944595,-0.06887990,1.73384968,-0.32908992,-0.03944947,-0.03057511,0.02282574,-0.00641125,-0.01753693,0.00046000,0.23035096,0.13112490,-0.09465440,0.02205463,0.10383080,-0.00114809
