tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.097116620,right_link,medium,0.165966106
0.040000,0.097031119,right_link,medium,0.165966106
0.080000,0.096595012,right_link,medium,0.165966106
0.120000,0.095827615,right_link,medium,0.165966106
0.160000,0.094991873,right_link,medium,0.165966106
0.200000,0.094414213,right_link,medium,0.165966106
0.240000,0.094311978,right_link,medium,0.165966106
0.280000,0.094687492,right_link,medium,0.165966106
0.320000,0.095368809,right_link,medium,0.165966106
0.360000,0.096103090,right_link,medium,0.165966106
0.400000,0.096649100,right_link,medium,0.165966106
0.440000,0.096867355,right_link,medium,0.165966106
0.480000,0.096774193,right_link,medium,0.165966106
0.520000,0.096505765,right_link,medium,0.165966106
0.560000,0.096247542,right_link,medium,0.165966106
0.600000,0.096164441,right_link,medium,0.165966106
0.640000,0.096334153,right_link,medium,0.165966106
0.680000,0.096710183,right_link,medium,0.165966106
0.720000,0.097157230,right_link,medium,0.165966106
0.760000,0.097514324,right_link,medium,0.165966106
0.800000,0.097657790,right_link,medium,0.165966106
0.840000,0.097559084,right_link,medium,0.165966106
0.880000,0.097304796,right_link,medium,0.165966106
0.920000,0.097037178,right_link,medium,0.165966106
0.960000,0.096875168,right_link,medium,0.165966106
1.000000,0.096842115,right_link,medium,0.165966106
