t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,-0.12084264,-0.19207470,0.85284564,-0.07087245,1.67252295,-0.32721119,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,-0.12084594,-0.19207470,0.85284581,-0.07087255,1.67252171,-0.32721119,-0.00097211,-0.00000000,0.00005159,-0.00002928,-0.00036556,0.00000159,-0.18802718,0.00000000,0.00997879,-0.00566386,-0.07070690,0.00030785
0.020000,-0.12086772,-0.19207470,0.85284697,-0.07087321,1.67251352,-0.32721115,-0.00363712,-0.00000000,0.00019303,-0.00010956,-0.00136773,0.00000595,-0.33902766,-0.00000000,0.01799253,-0.01021237,-0.12749006,0.00055508
0.030000,-0.12092313,-0.19207470,0.85284991,-0.07087488,1.67249268,-0.32721106,-0.00763819,-0.00000000,0.00040537,-0.00023008,-0.00287231,0.00001251,-0.45568570,0.00000000,0.02418369,-0.01372641,-0.17135887,0.00074608
0.040000,-0.12102384,-0.19207470,0.85285526,-0.07087791,1.67245481,-0.32721089,-0.01264531,0.00000000,0.00067110,-0.00038091,-0.00475522,0.00002070,-0.54068558,-0.00000000,0.02869472,-0.01628682,-0.20332275,0.00088525
0.050000,-0.12117838,-0.19207470,0.85286346,-0.07088257,1.67239670,-0.32721064,-0.01835532,-0.00000000,0.00097413,-0.00055291,-0.00690245,0.00003005,-0.59671153,-0.00000000,0.03166807,-0.01797447,-0.22439110,0.00097698
0.060000,-0.12139236,-0.19207470,0.85287481,-0.07088901,1.67231623,-0.32721029,-0.02449191,-0.00000000,0.00129981,-0.00073776,-0.00921009,0.00004010,-0.62644783,-0.00000000,0.03324620,-0.01887020,-0.23557332,0.00102567
0.070000,-0.12166880,-0.19207470,0.85288949,-0.07089734,1.67221227,-0.32720984,-0.03080559,-0.00000000,0.00163488,-0.00092794,-0.01158433,0.00005044,-0.63257873,-0.00000000,0.03357158,-0.01905488,-0.23787882,0.00103571
0.080000,-0.12200832,-0.19207470,0.85290750,-0.07090757,1.67208460,-0.32720928,-0.03707374,0.00000000,0.00196754,-0.00111676,-0.01394144,0.00006070,-0.61778850,-0.00000000,0.03278664,-0.01860936,-0.23231701,0.00101149
0.090000,-0.12240947,-0.19207470,0.85292879,-0.07091965,1.67193375,-0.32720863,-0.04310057,-0.00000000,0.00228739,-0.00129830,-0.01620781,0.00007057,-0.58476138,-0.00000000,0.03103386,-0.01761450,-0.21989729,0.00095742
0.100000,-0.12286896,-0.19207470,0.85295318,-0.07093349,1.67176096,-0.32720787,-0.04871713,-0.00000000,0.00258547,-0.00146748,-0.01831989,0.00007976,-0.53618165,-0.00000000,0.02845569,-0.01615115,-0.20162907,0.00087788
0.110000,-0.12338197,-0.19207470,0.85298040,-0.07094894,1.67156805,-0.32720703,-0.05378131,0.00000000,0.00285423,-0.00162003,-0.02022426,0.00008805,-0.47473356,-0.00000000,0.02519458,-0.01430018,-0.17852175,0.00077727
0.120000,-0.12394236,-0.19207470,0.85301015,-0.07096582,1.67135731,-0.32720612,-0.05817785,-0.00000000,0.00308756,-0.00175246,-0.02187756,0.00009525,-0.40310136,-0.00000000,0.02139299,-0.01214244,-0.15158473,0.00065999
0.130000,-0.12454300,-0.19207470,0.85304202,-0.07098392,1.67113144,-0.32720513,-0.06181834,-0.00000000,0.00328076,-0.00186213,-0.02324655,0.00010121,-0.32396933,-0.00000000,0.01719337,-0.00975878,-0.12182743,0.00053043
0.140000,-0.12517600,-0.19207470,0.85307562,-0.07100299,1.67089341,-0.32720410,-0.06464119,-0.00000000,0.00343057,-0.00194716,-0.02430807,0.00010584,-0.24002172,-0.00000000,0.01273819,-0.00723006,-0.09025925,0.00039298
0.150000,-0.12583298,-0.19207470,0.85311048,-0.07102278,1.67064635,-0.32720302,-0.06661167,-0.00000000,0.00353515,-0.00200651,-0.02504906,0.00010906,-0.15394278,-0.00000000,0.00816989,-0.00463715,-0.05788960,0.00025205
0.160000,-0.12650536,-0.19207470,0.85314617,-0.07104303,1.67039350,-0.32720192,-0.06772189,-0.00000000,0.00359407,-0.00203996,-0.02546656,0.00011088,-0.06841678,0.00000000,0.00363095,-0.00206089,-0.02572787,0.00011202
0.170000,-0.12718461,-0.19207470,0.85318221,-0.07106349,1.67013808,-0.32720081,-0.06799079,-0.00000000,0.00360834,-0.00204806,-0.02556768,0.00011132,0.01387202,-0.00000000,-0.00073620,0.00041786,0.00521652,-0.00002271
0.180000,-0.12786252,-0.19207470,0.85321819,-0.07108391,1.66988315,-0.32719970,-0.06746418,-0.00000000,0.00358039,-0.00203219,-0.02536965,0.00011046,0.09023937,-0.00000000,-0.00478909,0.00271824,0.03393417,-0.00014775
0.190000,-0.12853148,-0.19207470,0.85325369,-0.07110406,1.66963159,-0.32719860,-0.06621469,-0.00000000,0.00351408,-0.00199455,-0.02489978,0.00010841,0.15800100,-0.00000000,-0.00838527,0.00475939,0.05941568,-0.00025869
0.200000,-0.12918474,-0.19207470,0.85328836,-0.07112374,1.66938594,-0.32719753,-0.06434180,-0.00000000,0.00341468,-0.00193814,-0.02419549,0.00010535,0.21447266,-0.00000000,-0.01138228,0.00646046,0.08065163,-0.00035115
0.210000,-0.12981665,-0.19207470,0.85332190,-0.07114277,1.66914831,-0.32719650,-0.06197025,-0.00000000,0.00328882,-0.00186670,-0.02330368,0.00010146,0.25759842,-0.00000000,-0.01367100,0.00775952,0.09686890,-0.00042176
0.220000,-0.13042292,-0.19207470,0.85335407,-0.07116104,1.66892032,-0.32719551,-0.05923279,-0.00000000,0.00314354,-0.00178424,-0.02227427,0.00009698,0.28783571,0.00000000,-0.01527572,0.00867034,0.10823952,-0.00047127
0.230000,-0.13100050,-0.19207470,0.85338473,-0.07117843,1.66870312,-0.32719456,-0.05625288,-0.00000000,0.00298540,-0.00169448,-0.02115368,0.00009210,0.30627031,-0.00000000,-0.01625407,0.00922564,0.11517178,-0.00050145
0.240000,-0.13154755,-0.19207470,0.85341376,-0.07119491,1.66849741,-0.32719366,-0.05314311,-0.00000000,0.00282036,-0.00160081,-0.01998426,0.00008701,0.31398797,-0.00000000,-0.01666365,0.00945811,0.11807398,-0.00051408
0.250000,-0.13206327,-0.19207470,0.85344113,-0.07121045,1.66830347,-0.32719282,-0.05000522,-0.00000000,0.00265383,-0.00150628,-0.01880427,0.00008187,0.31207448,0.00000000,-0.01656210,0.00940048,0.11735442,-0.00051095
0.260000,-0.13254786,-0.19207470,0.85346685,-0.07122504,1.66812125,-0.32719203,-0.04693010,-0.00000000,0.00249063,-0.00141365,-0.01764789,0.00007684,0.30161558,0.00000000,-0.01600704,0.00908543,0.11342139,-0.00049383
0.270000,-0.13300235,-0.19207470,0.85349097,-0.07123873,1.66795034,-0.32719128,-0.04399778,0.00000000,0.00233501,-0.00132532,-0.01654520,0.00007204,0.28369706,0.00000000,-0.01505608,0.00854568,0.10668320,-0.00046449
